iter	RMSE
0	0.9657009738
1	0.932834553
2	0.9018557027
3	0.8732359199
4	0.8462514189
5	0.8206288584
6	0.7983062492
7	0.7759967544
8	0.7549492791
9	0.7354175459
10	0.7171013899
11	0.7009419065
12	0.6846937613
13	0.6704470476
14	0.6570290429
15	0.6439585482
16	0.6322029583
17	0.6209693627
18	0.6111697707
19	0.6017680446
20	0.5928120012
21	0.5844749877
22	0.576931612
23	0.5700198117
24	0.5636652056
25	0.5579739955
26	0.5520695344
27	0.5459688094
28	0.5409641946
29	0.5366250798
30	0.5316568143
31	0.5276009696
32	0.5225142662
33	0.5193082436
34	0.5163343211
35	0.5128308424
36	0.5091980678
37	0.5060813643
38	0.501212329
39	0.4989132997
40	0.496270518
41	0.4943348351
42	0.4925994232
43	0.4909031271
44	0.4851101627
45	0.4834671256
46	0.4799328212
47	0.4786495812
48	0.4745601891
49	0.4720698968
50	0.470870788
51	0.4673733632
52	0.4663483038
53	0.4654302997
54	0.4642588013
55	0.4629404027
56	0.4617412877
57	0.4608046419
58	0.4584501708
59	0.4573104383
60	0.4550985171
61	0.4543188033
62	0.4531816234
63	0.4516879551
64	0.4509215046
65	0.4500184144
66	0.4493231732
67	0.4487625549
68	0.4481912537
69	0.4474448672
70	0.4470230397
71	0.4461101541
72	0.445502366
73	0.4442090878
74	0.443551775
75	0.4419463574
76	0.4413005248
77	0.4411749291
78	0.4394580013
79	0.4391494508
80	0.4376312528
81	0.4362514319
82	0.4349359708
83	0.4346268861
84	0.4342858857
85	0.4340870103
86	0.4337192187
87	0.4333317979
88	0.432738064
89	0.4324729723
90	0.4318099096
91	0.4307685501
92	0.4306127828
93	0.430384387
94	0.4301376958
95	0.4299613871
96	0.4296599389
97	0.4291951653
98	0.4285799372
99	0.4284437309
100	0.4281611009
101	0.4280042346
102	0.4269578571
103	0.4266313826
104	0.4264440563
105	0.4263140137
106	0.426202964
107	0.4253072215
108	0.4244810393
109	0.4242861653
110	0.4242346156
111	0.4241381067
112	0.4236142381
113	0.4232854243
114	0.4230859502
115	0.4226636871
116	0.4225693641
117	0.422403308
118	0.4221253292
119	0.4216014774
120	0.4213781058
121	0.4212742197
122	0.4211639619
123	0.4205571575
124	0.4202701548
125	0.4201488076
126	0.4195079863
127	0.4192606063
128	0.4190370829
129	0.4188750942
130	0.4187366089
131	0.4186147214
132	0.4184443193
133	0.4181783673
134	0.4180864904
135	0.4179882509
136	0.417792649
137	0.4176604111
138	0.4170401573
139	0.4168204778
140	0.4166890076
141	0.4165160862
142	0.4163416262
143	0.4158902106
144	0.4156912457
145	0.4155570508
146	0.4150146535
147	0.4149331301
148	0.4148008407
149	0.4146705739
150	0.4145646311
151	0.4144639457
152	0.4143342248
153	0.4141697425
154	0.4137103303
155	0.4135420262
156	0.4132803029
157	0.4130643491
158	0.4127520035
159	0.4123622532
160	0.4121382446
161	0.4120727652
162	0.4119675715
163	0.411828529
164	0.411699746
165	0.4116272248
166	0.4113573516
167	0.4112310501
168	0.4110691629
169	0.4109793748
170	0.4108385591
171	0.4106202525
172	0.4105287766
173	0.4103650969
174	0.410254452
175	0.4101115376
176	0.4100362129
177	0.4098822589
178	0.409714698
179	0.4094381328
180	0.4088728705
181	0.4088202346
182	0.4087502387
183	0.4086346532
184	0.4085353338
185	0.408361444
186	0.408282335
187	0.4079417867
188	0.4077448524
189	0.407424358
190	0.4072667077
191	0.4071596341
192	0.4067366286
193	0.4066860523
194	0.4065599465
195	0.406472514
196	0.4063553166
197	0.4061796766
198	0.4060955708
199	0.4059917977
200	0.4059151229
201	0.4058344626
202	0.4056803991
203	0.4053519877
204	0.4052735737
205	0.4051026987
206	0.4046919427
207	0.4046067418
208	0.4043157221
209	0.4042362547
210	0.4040685347
211	0.4039232609
212	0.4036615946
213	0.4035910815
214	0.4035285177
215	0.4033833583
216	0.4032281182
217	0.4030396684
218	0.4028642534
219	0.4027315971
220	0.4026489836
221	0.4024330825
222	0.402335237
223	0.4020803497
224	0.4019894018
225	0.4018963575
226	0.4017960648
227	0.4016993063
228	0.4015642822
229	0.4014514504
230	0.4012817979
231	0.4012073585
232	0.4009916125
233	0.400844559
234	0.4007172178
235	0.4005512681
236	0.4004206054
237	0.4002785195
238	0.4001666932
239	0.4000085534
240	0.3998772321
241	0.3997231562
242	0.3995946848
243	0.3994819836
244	0.3993433846
245	0.399203617
246	0.399046356
247	0.3989629289
248	0.3988472546
249	0.3987639968
250	0.3986247935
251	0.3985280859
252	0.3983838722
253	0.3982486058
254	0.3981402414
255	0.3980729269
256	0.3979659512
257	0.3978789301
258	0.3977878127
259	0.3977008413
260	0.3976016982
261	0.3974105822
262	0.397271316
263	0.3971010243
264	0.3969674736
265	0.3968251608
266	0.3966579947
267	0.3964246104
268	0.3963068661
269	0.396177568
270	0.3960792871
271	0.3959911939
272	0.3959035606
273	0.3957852521
274	0.3956527324
275	0.3955726685
276	0.3954352217
277	0.3953287817
278	0.3952190059
279	0.3950858183
280	0.3950057387
281	0.3949329378
282	0.3948069931
283	0.3946630331
284	0.3945904116
285	0.3944820405
286	0.3943737449
287	0.3943103744
288	0.3942352689
289	0.3940866656
290	0.3939526611
291	0.3938576314
292	0.3937724404
293	0.393616276
294	0.3935206208
295	0.3934069949
296	0.3933169885
297	0.3931511233
298	0.3930689552
299	0.3929633403
300	0.3929060053
301	0.3928199393
302	0.39269879
303	0.3925754054
304	0.3924744261
305	0.3924090739
306	0.3922678381
307	0.3922119975
308	0.3921204699
309	0.3920300241
310	0.3919622772
311	0.3919149865
312	0.3917533392
313	0.391628572
314	0.3915472049
315	0.3914273858
316	0.3913762269
317	0.3912103354
318	0.3911386526
319	0.3910456356
320	0.3909516787
321	0.3908765797
322	0.39077563
323	0.3906270046
324	0.3905369314
325	0.3904238638
326	0.3902448894
327	0.3900671127
328	0.3899514095
329	0.3898479433
330	0.389726519
331	0.3896604155
332	0.3895093914
333	0.3894270681
334	0.3892299072
335	0.3891647078
336	0.389046435
337	0.3889707747
338	0.3888509444
339	0.3887110765
340	0.3886600039
341	0.3885948055
342	0.3885277536
343	0.3884663055
344	0.3883131319
345	0.3882536054
346	0.3881503868
347	0.3880701566
348	0.3879907509
349	0.3878949143
350	0.3877663736
351	0.3876438993
