iter	Passed	Remaining
0	240	954273
1	278	552988
2	305	404251
3	333	331377
4	364	289296
5	393	260132
6	419	237946
7	454	225171
8	485	213745
9	531	210608
10	563	202898
11	591	195328
12	620	188926
13	657	186048
14	707	186836
15	751	185856
16	799	186051
17	847	186332
18	888	184976
19	940	185951
20	1011	190459
21	1082	194439
22	1165	200236
23	1243	204700
24	1279	202119
25	1312	199274
26	1349	197304
27	1399	197297
28	1429	194425
29	1455	191331
30	1482	188616
31	1513	186412
32	1542	184162
33	1568	181706
34	1593	179316
35	1623	177631
36	1656	176267
37	1684	174436
38	1714	172963
39	1743	171486
40	1771	169965
41	1797	168301
42	1828	167118
43	1864	166548
44	1901	166015
45	1936	165334
46	1974	165010
47	2003	163872
48	2043	163690
49	2094	164365
50	2144	164995
51	2180	164453
52	2219	164183
53	2261	164174
54	2300	163943
55	2333	163245
56	2367	162711
57	2407	162577
58	2437	161727
59	2475	161457
60	2519	161635
61	2552	161046
62	2579	160109
63	2607	159275
64	2636	158581
65	2665	157845
66	2744	160058
67	2814	161663
68	2842	160867
69	2870	160073
70	2897	159264
71	2926	158576
72	2974	158938
73	3005	158412
74	3037	157906
75	3071	157526
76	3106	157232
77	3121	155914
78	3155	155591
79	3198	155675
80	3238	155626
81	3271	155282
82	3304	154908
83	3339	154654
84	3366	154021
85	3393	153418
86	3424	153002
87	3460	152821
88	3494	152526
89	3523	152065
90	3551	151551
91	3582	151155
92	3615	150890
93	3660	151076
94	3704	151264
95	3740	151086
96	3778	151013
97	3813	150829
98	3848	150619
99	3888	150622
100	3926	150549
101	3959	150315
102	3992	150047
103	4028	149913
104	4070	150001
105	4130	150714
106	4168	150656
107	4205	150556
108	4252	150796
109	4286	150583
110	4322	150417
111	4365	150524
112	4406	150547
113	4439	150319
114	4478	150266
115	4515	150168
116	4548	149948
117	4584	149814
118	4621	149711
119	4649	149316
120	4677	148930
121	4705	148570
122	4736	148310
123	4773	148223
124	4818	148358
125	4853	148235
126	4890	148142
127	4917	147743
128	4945	147393
129	4971	147002
130	4999	146660
131	5025	146285
132	5058	146102
133	5090	145876
134	5122	145659
135	5155	145499
136	5188	145322
137	5219	145091
138	5253	144952
139	5289	144852
140	5320	144623
141	5354	144501
142	5385	144277
143	5415	144036
144	5448	143869
145	5482	143743
146	5513	143543
147	5540	143237
148	5569	142969
149	5598	142719
150	5625	142420
151	5660	142340
152	5687	142042
153	5721	141927
154	5750	141696
155	5780	141471
156	5808	141223
157	5836	140954
158	5864	140709
159	5892	140469
160	5927	140391
161	5955	140145
162	5982	139869
163	6008	139595
164	6035	139318
165	6065	139152
166	6097	138997
167	6134	138966
168	6160	138706
169	6187	138463
170	6215	138232
171	6243	138015
172	6273	137838
173	6309	137792
174	6354	137939
175	6381	137708
176	6407	137459
177	6434	137219
178	6461	136980
179	6486	136719
180	6514	136506
181	6546	136390
182	6572	136151
183	6601	135978
184	6642	136053
185	6668	135801
186	6692	135537
187	6717	135286
188	6749	135177
189	6777	134980
190	6803	134744
191	6847	134880
192	6877	134742
193	6902	134495
194	6928	134262
195	6953	134039
196	6990	134019
197	7017	133819
198	7041	133577
199	7066	133351
200	7091	133110
201	7115	132875
202	7142	132684
203	7174	132586
204	7203	132431
205	7230	132261
206	7256	132058
207	7280	131821
208	7305	131611
209	7330	131390
210	7355	131182
211	7382	131003
212	7417	130975
213	7445	130810
214	7469	130599
215	7496	130420
216	7523	130252
217	7548	130057
218	7574	129868
219	7602	129734
220	7632	129611
221	7660	129463
222	7689	129334
223	7719	129227
224	7748	129111
225	7775	128944
226	7822	129115
227	7855	129063
228	7886	128972
229	7914	128839
230	7957	128938
231	7987	128827
232	8034	129006
233	8076	129078
234	8110	129049
235	8140	128941
236	8170	128836
237	8197	128684
238	8228	128587
239	8261	128531
240	8292	128454
241	8323	128361
242	8353	128263
243	8383	128156
244	8416	128098
245	8447	128024
246	8483	128012
247	8517	127970
248	8549	127903
249	8584	127874
250	8619	127843
251	8651	127776
252	8680	127665
253	8708	127539
254	8811	128516
255	8856	128623
256	8884	128494
257	8910	128337
258	8946	128319
259	8972	128174
260	8999	128032
261	9026	127891
262	9055	127773
263	9083	127655
264	9110	127516
265	9145	127486
266	9174	127382
267	9200	127231
268	9227	127095
269	9255	126972
270	9281	126827
271	9308	126689
272	9332	126517
273	9358	126378
274	9391	126326
275	9417	126177
276	9441	126018
277	9466	125854
278	9491	125696
279	9517	125561
280	9542	125414
281	9569	125285
282	9603	125250
283	9629	125121
284	9655	124980
285	9695	125020
286	9720	124878
287	9746	124747
288	9772	124609
289	9806	124578
290	9837	124503
291	9865	124399
292	9890	124253
293	9914	124102
294	9939	123956
295	9978	123986
296	10010	123931
297	10035	123798
298	10060	123651
299	10094	123617
300	10118	123476
301	10143	123338
302	10168	123194
303	10197	123102
304	10228	123046
305	10253	122909
306	10292	122939
307	10317	122807
308	10345	122701
309	10369	122558
310	10394	122425
311	10421	122323
312	10451	122250
313	10478	122137
